DEPARTMENT,NewDept,SCHOOL,Count
Arts & Sciences,Arts & Sciences,Johns H,
BROWN SCHOOL,Arts & Sciences,WUStL,
BUSINESS SCHOOL,Business,Emory,
BUSINESS SCHOOL ,Business,Johns H,
COLLEGE OF AGRICULTURE AND LIFE SCIENCES ,Arts & Sciences,Cornell,
COLLEGE OF AGRICULTURE ART PLANNING,Arts & Sciences,Cornell,
COLLEGE OF ARTS AND SCIENCES,Arts & Sciences,Boston U,
COLLEGE OF BUILT ENVIRONMENTS,Arts & Sciences,UW,
COLLEGE OF BUSINESS ,Business,Cornell,
COLLEGE OF COMMUNICATION ,Arts & Sciences,Boston U,
COLLEGE OF DENTAL MEDICINE,Dentistry,Columbia,
COLLEGE OF EDUCATION,Education,UW,
COLLEGE OF EDUCATION AND HUMAN DEVELOPMENT,Education,Boston U,
COLLEGE OF ENGINEERING,Engineering,Boston U,
COLLEGE OF FINE ARTS,Arts & Sciences,Boston U,
COLLEGE OF GENERAL STUDIES,Arts & Sciences,Boston U,
COLLEGE OF GRADUATE STUDIES,Graduate,UBC,
COLLEGE OF HEALTH AND REHABILITATION SCIENCES,Arts & Sciences,Boston U,
COLLEGE OF HUMAN ECOLOGY,Arts & Sciences,Cornell,
COLLEGE OF LETTER AND SCIENCE ,Arts & Sciences,UCLA,
"COLLEGE OF LITERATURE, SCIENCE, AND THE ARTS ",Arts & Sciences,UMichigan,
COLLEGE OF PHARMACY,Pharmacy,UMichigan,
COLLEGE OF PHYSICIANS AND SURGEONS ,Medicine,Columbia,
COLLEGE OF THE ENVIRONMENT,Arts & Sciences,UW,
COLLEGE OF VETERINARY MEDICINE,Veterinary,Cornell,
COLUMBIA BUSINESS SCHOOL,Business,Columbia,
COLUMBIA COLLEGE,Arts & Sciences,Columbia,
COLUMBIA ENGINEERING,Engineering,Columbia,
COLUMBIA JOURNALISM SCHOOL,Arts & Sciences,Columbia,
COLUMBIA LAW SCHOOL,Law,Columbia,
CORNELL TECH,Arts & Sciences,Cornell,
DENTISTRY,Dentistry,UBC,
DIVINITY SCHOOL,Religion,Duke,
DIVISION OF ARTS AND HUMANITIES,Arts & Sciences,UCSD,
DIVISION OF BIOLOGICAL SCIENCES,Arts & Sciences,UCSD,
DIVISION OF PHYSICAL SCIENCES,Arts & Sciences,UCSD,
DIVISION OF SOCIAL SCIENCES,Arts & Sciences,UCSD,
EDUCATION,Education,MIT,
EDUCATION SERVICES ,Education,McMaster,
ENGINEERING,Engineering,UMichigan,
FACULTY OF APPLIED SCIENCE ,Arts & Sciences,UBC,
FACULTY OF APPLIED SCIENCE AND ENGINEERING ,Engineering,UToronto,
"FACULTY OF ARCHITECTURE, LANDSCAPE AND DESIGN",Arts & Sciences,UToronto,
FACULTY OF ARTS ,Arts & Sciences,UBC,
FACULTY OF ARTS AND SCIENCE,Arts & Sciences,UToronto,
FACULTY OF ARTS AND SCIENCES,Arts & Sciences,Harvard,
FACULTY OF ARTS AND SCIENCES ,Arts & Sciences,Yale,
FACULTY OF COMPUTING AND INFORMATION SCIENCE,Arts & Sciences,Cornell,
FACULTY OF CREATIVE AND CRITICAL STUDIES,Arts & Sciences,UBC,
FACULTY OF DENTISTRY ,Dentistry,UBC,
FACULTY OF EDUCATION ,Education,UBC,
FACULTY OF ENGINEERING,Engineering,McMaster,
FACULTY OF FORESTRY,Arts & Sciences,UBC,
FACULTY OF HEALTH SCIENCES,Arts & Sciences,McMaster,
FACULTY OF HUMANITIES,Arts & Sciences,McMaster,
FACULTY OF INFORMATION,Arts & Sciences,UToronto,
FACULTY OF KINESIOLOGY AND PHYSICAL EDUCATION,Arts & Sciences,UToronto,
FACULTY OF LAND AND FOOD SYSTEMS,Arts & Sciences,UBC,
FACULTY OF LAW,Law,UToronto,
FACULTY OF MANAGEMENT ,Business,UBC,
FACULTY OF MEDICINE,Medicine,UBC,
FACULTY OF MUSIC,Music,UToronto,
FACULTY OF NURSING,Nursing,UToronto,
FACULTY OF PHARMACEUTICAL SCIENCES ,Pharmacy,UBC,
FACULTY OF PHARMACY,Pharmacy,UToronto,
FACULTY OF SCIENCE,Arts & Sciences,UBC,
FACULTY OF SCIENCE ,Arts & Sciences,McMaster,
FACULTY OF SOCIAL SCIENCE,Arts & Sciences,McMaster,
FACULTY OF SOCIAL WORK ,Arts & Sciences,UToronto,
FAQUA SCHOOL OF BUSINESS,Business,Duke,
GRADUATE AND POSTDOC STUDIES,Graduate,UBC,
GRADUATE DIVISION,Graduate,UCLA,
GRADUATE MEDICAL SCIENCES,Arts & Sciences,Boston U,
Graduate School,Graduate,Cornell,
GRADUATE SCHOOL,Graduate,Cornell,
