SCHOOL,GENDER,count
Boston U,F,12
Boston U,M,15
Columbia,F,5
Columbia,M,15
Cornell,F,3
Cornell,M,9
Duke,F,5
Duke,M,21
Emory,F,3
Emory,M,8
Harvard,F,7
Harvard,M,7
Johns H,F,7
Johns H,M,9
MIT,F,8
MIT,M,14
McMaster,F,3
McMaster,M,5
NWestern,F,9
NWestern,M,12
Stanford,F,6
Stanford,M,8
UBC,F,6
UBC,M,10
UCLA,F,2
UCLA,M,7
UCSD,F,4
UCSD,M,4
UCSF,F,7
UCSF,M,6
UChicago,F,3
UChicago,M,10
UMichigan,F,5
UMichigan,M,8
UNC,F,5
UNC,M,10
UPenn,F,13
UPenn,M,11
UPitt,F,6
UPitt,M,14
UToronto,F,3
UToronto,M,8
UW,F,8
UW,M,16
Vanderbilt,F,8
Vanderbilt,M,11
WUStL,F,15
WUStL,M,10
Yale,F,6
Yale,M,9
