SCHOOL,DEPARTMENT,POSITION,GENDER,Name,Other,a,b,c,d,e
Boston University,COLLEGE OF ARTS AND SCIENCES,ASSISTANT DEAN,F,Stephanie Nelson,,,,,,
Boston University,COLLEGE OF ARTS AND SCIENCES,ASSISTANT DEAN,F,Gisela Hoecherl-Alden,,,,,,
Boston University,COLLEGE OF ARTS AND SCIENCES,ASSISTANT DEAN,F,Kerry Buglio,,,,,,
Boston University,COLLEGE OF ARTS AND SCIENCES,ASSISTANT DEAN,M,Daryl Healea,,,,,,
Boston University,COLLEGE OF ARTS AND SCIENCES,ASSISTANT DEAN,M,Chris Walsh,,,,,,
Boston University,COLLEGE OF ARTS AND SCIENCES,ASSISTANT DEAN,M,Richard Wright,,,,,,
Boston University,COLLEGE OF ARTS AND SCIENCES,ASSISTANT DEAN,M,Edward Stern,,,,,,
Boston University,COLLEGE OF ARTS AND SCIENCES,ASSISTANT DEAN,M,Glen Zamansky,,,,,,
Boston University,COLLEGE OF ARTS AND SCIENCES,ASSOCIATE DEAN,F,Lucy Russell,,,,,,
Boston University,COLLEGE OF ARTS AND SCIENCES,ASSOCIATE DEAN,F,Emily Barman,,,,,,
Boston University,COLLEGE OF ARTS AND SCIENCES,ASSOCIATE DEAN,F,Nazli Kibria,,,,,,
Boston University,COLLEGE OF ARTS AND SCIENCES,ASSOCIATE DEAN,F,Juliana Walsh Kasier,,,,,,
Boston University,COLLEGE OF ARTS AND SCIENCES,ASSOCIATE DEAN,M,Joseph Bizup,,,,,,
Boston University,COLLEGE OF ARTS AND SCIENCES,ASSOCIATE DEAN,M,Karl Kirchwey,,,,,,
Boston University,COLLEGE OF ARTS AND SCIENCES,ASSOCIATE DEAN,M,Stan Sclaroff,,,,,,
Boston University,COLLEGE OF ARTS AND SCIENCES,ASSOCIATE DEAN,M,Michael Sorenson,,,,,,
Boston University,COLLEGE OF ARTS AND SCIENCES,ASSOCIATE DEAN,M,Steven Jarvi,,,,,,
Boston University,COLLEGE OF ARTS AND SCIENCES,DEAN,F,Ann E. Cudd,,,,,,
Boston University,COLLEGE OF COMMUNICATION ,ASSISTANT DEAN,F,Maureen Mahoney,,,,,,
Boston University,COLLEGE OF COMMUNICATION ,ASSISTANT DEAN,F,Kirsten Durocher,,,,,,
