SCHOOL,DEPARTMENT,POSITION,GENDER,Name,Other
MIT,SCHOOL AND ARCHITECTURE AND PLANNING,DEAN,M,TEChristina Paxson,
MIT,SCHOOL AND ARCHITECTURE AND PLANNING,ASSISTANT DEAN,M,Ken Goldsmith,
MIT,SCHOOL AND ARCHITECTURE AND PLANNING,ASSISTANT DEAN,F,Ramona Allen,
MIT,SCHOOL AND ARCHITECTURE AND PLANNING,ASSISTANT DEAN,F,Barbara Feldman,
MIT,SCHOOL OF ENGINEERING,DEAN,M,Anantha P. Chandrakasan,
MIT,SCHOOL OF ENGINEERING,ASSOCIATE DEAN,M,Vladimir Bulović,
MIT,SCHOOL OF ENGINEERING,ASSOCIATE DEAN,F,Anette E. Hosoi,
MIT,SCHOOL OF ENGINEERING,ASSISTANT DEAN,F,Mary Markel Murphy,
MIT,SCHOOL OF ENGINEERING,ASSISTANT DEAN,F,Eileen Ng-Ghavidel,
MIT,SCHOOL OF ENGINEERING,ASSISTANT DEAN,F,Danielle Festino,
MIT,"SCHOOL OF HUMANITIES, ARTS, AND SOCIAL SCIENCES ",DEAN,F,Melissa Nobles,
MIT,"SCHOOL OF HUMANITIES, ARTS, AND SOCIAL SCIENCES ",ASSOCIATE DEAN,M,Agustín Rayo,
MIT,"SCHOOL OF HUMANITIES, ARTS, AND SOCIAL SCIENCES ",ASSISTANT DEAN,M,Marc B. Jones,
MIT,"SCHOOL OF HUMANITIES, ARTS, AND SOCIAL SCIENCES ",ASSISTANT DEAN,F,Anne Marie Michel,
MIT,MIT SLOAN SCHOOL OF MANAGEMENT,DEAN,M,David C. Schmittlein,
MIT,MIT SLOAN SCHOOL OF MANAGEMENT,ASSOCIATE DEAN,M,Ezra W. Zuckerman Sivan,Deputy Dean 
MIT,MIT SLOAN SCHOOL OF MANAGEMENT,ASSOCIATE DEAN,M,Jacob Cohen,
MIT,MIT SLOAN SCHOOL OF MANAGEMENT,ASSOCIATE DEAN,F,Kristina Gulick Schaefer,
MIT,MIT SLOAN SCHOOL OF MANAGEMENT,ASSOCIATE DEAN,M,Peter Hirst,
MIT,MIT SLOAN SCHOOL OF MANAGEMENT,ASSOCIATE DEAN,F,Fiona E. Murray,
MIT,MIT SLOAN SCHOOL OF MANAGEMENT,ASSOCIATE DEAN,M,Nelson Repenning,
MIT,SCHOOL OF SCIENCE,DEAN,M,Michael Sipser,
MIT,SCHOOL OF SCIENCE,ASSISTANT DEAN,F,Sarah Brady,
MIT,SCHOOL OF SCIENCE,ASSISTANT DEAN,F,Elizabeth Chadis,
MIT,SCHOOL OF SCIENCE,ASSISTANT DEAN,F,Heather G. Williams,
MIT,SENIOR LEADERSHIP,PRESIDENT/CHANCELLOR,F,Rafael Reif ,
MIT,SENIOR LEADERSHIP,PRESIDENT/CHANCELLOR,F,CYNTHIA BARNHART,Chancellor
MIT,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,IAN A. WAITZ,Vice-Chancellor
MIT,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,SUZY NELSON,VP and Dean for Student Life 
MIT,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,MARIA T. ZUBER,VP Research 
MIT,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,SANJAY SARMA,VP Open Learning
MIT,SENIOR LEADERSHIP,DEAN,M,KRISHNA RAJAGOPAL,Dean Digital Learning
MIT,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,ISRAEL RUIZ,Executive VP and and Treasurer 
